Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,0.085137434,0.0647376,0.074244745,1.7829685,0.00029787328,0.0,-1.3741248166188598,992.125,-1.3741242745891213
15000,0.02077415,0.04299806,0.06944592,1.7788748,0.00029637088,0.0,None,None,None
20000,-0.08563271,0.058438476,0.07698563,1.7527641,0.00029485783,0.0,-1.2499999533756636,993.0,-1.2499996833503246
25000,-0.099715486,0.036431912,0.072499335,1.7528408,0.000293377,0.0,-1.9999999629799277,993.0,-1.9999995939433575
30000,-0.101182446,0.028240517,0.06896047,1.739722,0.00029187332,0.0,None,None,None
35000,-0.050837826,0.014405828,0.07014162,1.7487035,0.0002903602,0.0,-0.7499999076244421,993.0,-0.7499998528510332
40000,-0.023995923,0.01826019,0.0712879,1.7450317,0.0002888794,0.0,-0.4999998884741217,993.0,-0.42857114864247187
45000,-0.008778538,0.0034215422,0.0746194,1.745121,0.0002873757,0.0,None,None,-1.0000000521540642
50000,-0.019268947,0.019103773,0.072495334,1.7537253,0.00028586262,0.0,0.5000001849839464,993.0,0.5000002076849341
55000,-0.0026741433,0.012392893,0.067138486,1.7656721,0.00028435892,0.0,None,None,None
60000,0.06357138,0.015273187,0.06766845,1.7656202,0.0002828458,0.0,0.37500013018143363,993.0,0.375000330619514
65000,0.1830136,0.061292913,0.07497581,1.7467165,0.00028136504,0.0,1.6250002398446668,993.0,1.6250005532056093
70000,0.19218409,0.030340439,0.07735423,1.745898,0.00027986133,0.0,None,None,None
75000,0.15639208,0.05984707,0.062381268,1.7410288,0.00027834822,0.0,1.3750002292508725,993.0,1.375000735744834
80000,0.31207386,0.051913545,0.06849922,1.7291368,0.00027686745,0.0,2.875000332511263,993.0,3.4285721267972673
85000,0.44785613,0.043948416,0.063455194,1.7154052,0.00027536374,1.0,None,None,-0.9999988526105881
90000,0.44791684,0.04586004,0.06820213,1.6861157,0.00027365997,1.0,4.399825347558362,968.125,4.3998260833323
95000,0.37029797,0.05273253,0.07491175,1.6639255,0.0002723777,1.0,7.021800362272188,971.0,7.021800920367241
100000,0.46945554,0.026637044,0.07487394,1.6650456,0.00027080218,1.0,2.428714540886826,992.8571428571429,2.4287150438342775
105000,0.5507354,0.043594345,0.074185945,1.649755,0.00026927682,1.0,4.72895037510898,889.375,4.728951203636825
110000,0.56308144,0.04477262,0.059820183,1.6234392,0.00026787,1.0,5.764067083597183,896.0,5.764067346851031
115000,0.6824832,0.03056103,0.05631368,1.5913465,0.000266221,1.0,5.7822004060435575,836.5,5.782201055437326
120000,0.7217075,0.089907646,0.067091726,1.5835503,0.00026476145,1.0,5.972125505679287,772.125,5.972126231528819
125000,0.6526437,0.05263274,0.06695289,1.5536481,0.0002633302,1.0,6.240760515816509,554.8,6.240761312842369
130000,0.6914823,0.034337327,0.072302975,1.5385244,0.00026170825,1.0,4.668360351538285,925.0,4.668360747396946
135000,0.8364242,0.04823302,0.07092645,1.5281122,0.0002602683,1.0,6.968600509998699,858.1666666666666,6.968601023157437
140000,0.9181447,0.0876461,0.07049232,1.4947071,0.00025882854,1.0,6.044133758715664,728.1111111111111,6.044134583738115
145000,1.038866,0.07018229,0.065093845,1.4405468,0.00025719538,1.0,6.767983728049633,478.25,6.700364677743479
150000,1.1917741,0.057410467,0.06972498,1.3674595,0.00025566336,2.0,7.595900435117073,401.0,7.579080867767334
155000,1.1375142,0.063225485,0.07497872,1.3402545,0.00025424457,2.0,7.42616048657801,569.3,7.42616114616394
160000,1.0521027,0.045619216,0.06956362,1.308553,0.00025277716,2.0,6.5761115608167735,641.2222222222222,6.576112008757061
165000,1.0410974,0.08042251,0.07445259,1.2652978,0.00025129216,2.0,7.422800476363461,572.4285714285714,7.422801149742944
170000,1.0943171,0.073879875,0.075566016,1.256958,0.00024969564,2.0,5.217225396510912,776.625,5.217226263135672
175000,0.9762695,0.060468223,0.064036995,1.2414286,0.00024827698,2.0,6.849400445702486,645.75,6.8494009375572205
180000,0.9651935,0.09746045,0.06855139,1.1741192,0.0002467516,2.0,5.044473124392838,677.4545454545455,5.248821125924588
185000,0.9178313,0.10070271,0.07305105,1.1577733,0.000245262,2.0,6.562767168623395,599.5,6.053944036364555
190000,1.0035517,0.06320911,0.06732998,1.0695012,0.00024376814,2.0,6.723740494507365,571.5,6.7237413510680195
195000,1.1556007,0.07392651,0.06667111,1.0467869,0.00024232632,3.0,7.263236856998199,460.27272727272725,7.263237350366333
200000,1.2730625,0.08095458,0.06757413,1.0296156,0.00024056931,3.0,7.152580481185578,444.0,7.152581082284451
205000,1.3112657,0.052877862,0.07144996,1.048076,0.00023924786,3.0,6.778425396565581,467.75,6.7784261126071215
210000,1.2638848,0.08080049,0.06058856,0.9976445,0.00023779781,3.0,6.823927651476962,535.4545454545455,6.823928301984614
215000,1.2840745,0.07384012,0.07828944,1.0403371,0.00023628096,3.0,6.574925504683051,545.875,6.5749261528253555
220000,1.35319,0.08995509,0.07032755,1.0122483,0.00023484718,3.0,6.823000474092127,536.2727272727273,6.823001092130488
225000,1.3280709,0.07527273,0.063809395,1.0175638,0.00023317653,3.0,7.211309512061152,511.72727272727275,7.211310297250748
230000,1.3495697,0.11293349,0.06853726,0.9839223,0.00023175673,3.0,6.0274004700826485,468.8,6.558823520938556
235000,1.290993,0.12149656,0.061943464,0.9320962,0.00023026981,3.0,5.871711485967454,458.1111111111111,5.409001438319683
240000,1.3279225,0.08716287,0.060741514,0.9585385,0.00022860925,4.0,7.198475435812725,423.25,7.198475984856486
245000,1.2956161,0.06232461,0.07102308,0.93137616,0.00022721493,4.0,6.855289256795206,584.5555555555555,6.855289522144529
250000,1.3655972,0.105023496,0.07299117,0.9332546,0.00022581636,4.0,6.657691312149506,520.2727272727273,6.6576920571652325
255000,1.4782715,0.10265955,0.067054115,0.92275846,0.00022424725,4.0,6.366054935042154,448.54545454545456,6.366055766289884
260000,1.3638289,0.09306347,0.06881084,0.8618744,0.00022277985,4.0,6.349600374465808,446.4,6.349601250886917
265000,1.2073907,0.16796723,0.07258422,0.8568041,0.00022130039,4.0,4.0100669906112465,761.6666666666666,4.010067749354574
270000,1.0843984,0.11161677,0.072295636,0.9213635,0.00021969948,4.0,6.47330045500227,522.4166666666666,6.47330130264163
275000,1.1767713,0.08211637,0.07408825,0.9575584,0.00021830361,4.0,7.274673181141472,358.6363636363636,7.274673673239621
280000,1.1678177,0.07840392,0.070740506,1.0123786,0.00021683527,5.0,6.4924337357127415,503.5,6.492434605956078
285000,1.2304757,0.04640994,0.061986774,1.058798,0.00021510659,5.0,6.916764087276533,533.4545454545455,6.916764814745296
290000,1.3632767,0.077753335,0.064221956,1.0031204,0.00021367577,5.0,6.810356033034623,408.44444444444446,6.724400877952576
295000,1.3177285,0.09787183,0.06830325,0.9733696,0.0002122847,5.0,6.398382197261196,506.6363636363636,6.490017633885145
300000,1.2601254,0.07685052,0.07455894,0.92354363,0.00021076699,5.0,6.57616708567366,420.5833333333333,6.5761676641802
305000,1.3079935,0.08380216,0.06971245,0.99146855,0.00020929062,5.0,7.179733828563864,483.1111111111111,7.179734483361244
310000,1.1256061,0.10193938,0.07000555,1.0503443,0.00020768758,5.0,6.359400441753678,511.375,6.359401244670153
315000,0.90727144,0.06307937,0.076739535,1.036913,0.00020626561,5.0,5.303556020552707,691.1111111111111,5.303556927376324
320000,1.1506912,0.072685875,0.07102907,0.9597297,0.00020475534,5.0,6.707343271567619,431.85714285714283,6.707343878490584
325000,1.2521082,0.079331785,0.065098226,0.9463978,0.00020325217,6.0,7.172767153242603,490.0,7.172767711182435
330000,1.3054968,0.16864437,0.06947608,0.9404811,0.0002017718,6.0,5.5019604489440095,394.8,5.501961015164852
335000,1.3661001,0.13697682,0.07087422,0.9608021,0.00020017133,6.0,6.541443270547981,383.92857142857144,6.541443900338241
340000,1.2271584,0.10998296,0.0726212,1.0225632,0.00019874888,6.0,6.348483833212716,398.3333333333333,6.227928238836202
345000,1.4897542,0.08932444,0.06881409,0.94464004,0.0001973203,6.0,7.105443331263294,391.2857142857143,7.143387684226036
350000,1.4671558,0.102937296,0.06341122,0.95688844,0.00019570108,6.0,6.889662930727354,357.375,6.849121074875196
355000,1.4067473,0.13712147,0.06499021,0.9392179,0.00019440013,7.0,6.81105763528363,329.14285714285717,6.896901160478592
360000,1.4740506,0.11093011,0.06806284,0.95123386,0.00019266819,7.0,6.544557619108153,380.92857142857144,6.459278165147855
365000,1.4332966,0.14687882,0.068675965,0.93478024,0.00019128417,7.0,6.055733736041778,357.75,6.178616534058865
370000,1.4421492,0.10651952,0.06641346,0.9156461,0.00018979004,7.0,7.201628953035522,366.7142857142857,7.2016293959958215
375000,1.4992807,0.11660955,0.07403576,0.8658351,0.00018824806,7.0,6.790443269668946,349.57142857142856,6.790444098412991
